Key,Year,Source,Subtype ID
Wa10_1035,2010,Water,133
Wa10_1036,2010,Water,133
LH16_MS2443,2016,Human,134
Wa10_1055,2010,Water,135
Wa10_1066,2010,Water,136
Wa10_1046,2010,Water,137
Wa10_1051,2010,Water,138
Wa10_1064,2010,Water,139
CCMB_17,2016,Chicken,140
CCMB_736,2016,Chicken,140
CCMB_57,2016,Chicken,140
CCMA_1057,2016,Chicken,140
CCMA_1076,2016,Chicken,140
CCMA_1084,2016,Chicken,140
CCMA_948,2016,Chicken,140
CCMA_949,2016,Chicken,140
CCMB_1355,2016,Chicken,140
CCMB_21,2016,Chicken,140
CCMB_935,2016,Chicken,140
CCMC_1001,2016,Chicken,140
CCMC_1011,2016,Chicken,140
CCMC_1028,2016,Chicken,140
CCMC_1040,2016,Chicken,140
CCMC_1044,2016,Chicken,140
CCMC_1052,2016,Chicken,140
CCMC_1053,2016,Chicken,140
CCMC_1054,2016,Chicken,140
CCMC_1055,2016,Chicken,140
CCMC_1056,2016,Chicken,140
CCMC_1057,2016,Chicken,140
CCMC_1058,2016,Chicken,140
CCMC_1059,2016,Chicken,140
CCMC_1060,2016,Chicken,140
CCMC_1061,2016,Chicken,140
CCMC_1075,2016,Chicken,140
CCMC_1090,2016,Chicken,140
CCMC_1094,2016,Chicken,140
CCMC_1095,2016,Chicken,140
CCMC_1102,2016,Chicken,140
CCMC_1104,2016,Chicken,140
CCMC_1106,2016,Chicken,140
CCMC_1112,2016,Chicken,140
CCMC_1120,2016,Chicken,140
CCMC_1127,2016,Chicken,140
CCMC_1129,2016,Chicken,140
CCMC_1132,2016,Chicken,140
CCMC_1133,2016,Chicken,140
CCMC_1135,2016,Chicken,140
CCMC_1141,2016,Chicken,140
CCMC_1142,2016,Chicken,140
CCMC_1143,2016,Chicken,140
CCMC_1144,2016,Chicken,140
CCMC_1150,2016,Chicken,140
CCMC_1159,2016,Chicken,140
CCMC_1164,2016,Chicken,140
CCMC_1165,2016,Chicken,140
CCMC_1168,2016,Chicken,140
CCMC_1181,2016,Chicken,140
CCMC_1190,2016,Chicken,140
CCMC_1191,2016,Chicken,140
CCMC_1192,2016,Chicken,140
